Title,Length,Date,Time,Source,Content,Author
MEINUNG; Instinktlos und peinlich!,126 words,14 July 2023,BILD,ZBILD,"['ANGELIKA HELLEMANN', 'Der Kanzler und seine 16 Minister haben tatsächlich ihren Plan durchgezogen und sich 3000 Euro Inflationsprämie genehmigt - steuerfrei.', 'Sie sind offenbar der Meinung, dass ihnen der Zuschlag, der Busfahrern und Erzieherinnen das Zahlen an der Supermarktkasse leichter machen soll, zusteht.', 'Was für eine peinliche Instinktlosigkeit!', 'Zumal schon im nächsten März der Minister- und Kanzlerverdienst erhöht wird, jeder Minister etwa 900 Euro im Monat mehr verdienen wird.', 'Wenn die Ampel-Regierung den Frust auf ""die da oben"" ernst nimmt, dann sollte sie sich besinnen und das Geld sofort zurückgeben. Und zwar an uns Steuerzahler.', 'Jedermann kann dem Staat unbürokratisch Geld schenken. Für solche Fälle wurde eigens ein Spendenkonto beim Bund eingerichtet. DAS wäre in diesen Zeiten das richtige Zeichen!']",ANGELIKA HELLEMANN
"MEINUNG; Füllkrug macht für Bayern Sinn, wenn...",289 words,12 July 2023,BILD,ZBILD,"['MATTHIAS BRÜGELMANN', 'Ganz klar: Harry Kane (29) wäre mit seinen Mittelstürmer-Qualitäten der perfekte Bayern-Transfer.', 'Aber klar ist auch: Der FC Bayern muss aufpassen, dass der Tottenham-Superstar nicht zu teuer wird. Denn 2024 wäre Kane ablösefrei zu haben.', 'Was ist das eine Jahr Bayern wert?', 'Zum Vergleich: Lewandowski hat 2022 ein Jahr vor Vertragsende etwa 50 Millionen Euro gekostet, war zu dem Zeitpunkt vier Jahre älter als Kane heute. Insofern wären 70 bis 80 Millionen Euro vertretbar. Aber 100 Millionen Euro für Englands Kapitän? NO!', 'Um die Verhandlungsposition gegenüber dem knallharten Tottenham-Boss Levy zu verbessern, ist es clever, dass die Bayern jetzt ein Alternativ-Szenario aufbauen. Motto: Wenn du unsere 70 bis 80 Millionen jetzt nicht willst, kommt Kane halt 2024 umsonst...', 'Álvarez (23/Manchester City) und Vlahovic (23/Juventus) sind als mögliche Leih-Stürmer im Gespräch, um die Bayern-Saison 23/24 zu überbrücken. Kann man machen.', 'Eine andere Variante würde für mich noch mehr Sinn ergeben, falls es diesen Sommer noch nicht mit Kane klappen sollte: Bundesliga-Torschützenkönig Füllkrug (30) für 20 Millionen Euro aus Bremen holen! Wer beim Tabellendreizehnten in 28 Spielen 16 Treffer erzielt und 5 vorbereitet, wird auch beim Serienmeister funktionieren. Füllkrug würde sicher auch lieber zu Bayern als zu Bayer gehen, falls er die Wahl haben sollte.', 'Damit hätte Tuchel einen richtig guten Typen, der gierig auf seine ersten Titel ist - und auch den perfekten Kane-Back-up für die nächsten Jahre, wenn Choupo-Moting nicht mehr da ist. Ganz nebenbei würden die Bayern so Flick und der Nationalelf helfen, da sich Füllkrug mit Musiala, Gnabry, Sané und Müller für die EM 2024 einspielen könnte.', 'Füllkrug wäre der perfekte Plan B!']",Matthias Brügelmann
MEINUNG; Keine neuen Schnapsideen!,140 words,11 July 2023,BILD,ZBILD,"['HANS JÖRG VEHLEWALD', 'SPD-Chef Klingbeil will abschaffen, wovon er selbst profitiert: das Ehegattensplitting, das Familien und Paaren seit Jahrzehnten Entlastung verschafft. Klingbeil nennt das System überkommen, unmodern. Tatsächlich bringt es in Sachen Familien- und Kinderförderung seit Langem wenig. Und es belohnt, wenn ein Partner zu Hause bleibt, statt zu arbeiten. Dabei brauchen wir mehr Arbeitskräfte, mehr Nachwuchs.', 'Aber hängen Geburtenraten und Frauen-Erwerbsquoten wirklich von den Milliarden ab, die der Staat in immer neue ""Kinderzuschläge"" oder ""Grundsicherungen"" steckt? Offenkundig nicht!', 'Auf das Ehegattensplitting können Paare seit 1958 vertrauen. SPD und Ampel sollten dieses Prinzip nicht mit ein paar Nebensätzen einreißen, ohne vernünftige Alternativen zu bieten.', 'Die Bürger sind wegen Krieg, Zeitenwende, Heiz-Hammer bereits tief verunsichert.', 'Daher, liebe Ampel-Politiker: im Sommerloch 2023 bitte keine weiteren solcher Schnapsideen!', 'Foto: MICHAEL KAPPELER/DPA ']",Hans-Jörg Vehlewald
MEINUNG; Die grüne Arroganz nervt!,147 words,8 July 2023,BILD,ZBILD,"['JAN W. SCHÄFER', 'Monatelang machten Robert Habeck und die Grünen Druck, das Heiz-Gesetz per Turbo durch den Bundestag zu peitschen.', 'Nun haben Richter Habeck gebremst. Und was sagt der Wirtschafts- und Selbstschutzminister lächelnd? ""Kein Beinbruch ...""', ""Geht's noch abgehobener?"", 'Habeck und seine Grünen haben ein Problem damit, Fehler einzugestehen. Fast in Trump-Manier suchen sie die Schuld gerne woanders. Beim Heiz-Hammer fuhren angeblich Lobbygruppen, die ""Rechte"", die CDU, die FDP eine Kampagne gegen das Gesetz. Auch BILD wurde beschuldigt.', 'Auf die Idee, dass Habecks erste Entwürfe schlicht Murks waren, kam bei den Grünen wohl niemand.', ""Fehler können passieren, keine Frage. Normalerweise entschuldigt man sich danach, ändert sein Verhalten - und weiter geht's. Was echt nervt, ist: ständig zu glauben, man mache alles richtig. Und schuld an eigenen Fehlern seien andere."", 'Solch ein Verhalten ist einer Regierungspartei unwürdig.']",Jan W. Schäfer
MEINUNG; Die Dilettanten,229 words,7 July 2023,BILD,ZBILD,"['ROBERT SCHNEIDER', '""Das ist ein sehr seriöses Gesetzgebungsverfahren"" - so wischte der Kanzler noch am Sonntag alle verfassungsrechtlichen Zweifel an der Eile vom Tisch, mit der die Ampel das ohnehin arg ramponierte Heizungsgesetz durch den Bundestag bringen wollte.', 'Am Mittwoch dann ließ das Bundesverfassungsgericht den gesetzgeberischen Luftballon platzen und verbot der Ampel schlicht, mit ihrer Mehrheit die zweite und dritte Lesung in dieser Woche zu erzwingen.', 'Doch von Einsicht keine Spur! Nur wenige Stunden später griffen nicht wenige Unbelehrbare der Koalition erneut zum Brecheisen und versuchten, eine ebenso kostspielige wie unnötige Sondersitzung des Bundestags durchzusetzen, um das Heiz-Gesetz noch zügig durchzusetzen (was gottlob an der FDP scheiterte). Schlimm genug, dass die Ampel die Kontrollbefugnis des Parlaments dreist beschneiden wollte, nur um das Verlierer-Thema Heizungsgesetz aus den Landtagswahlen im Herbst herauszuhalten.', 'Doch für mich ist der Dilettantismus des Vorgehens fast schlimmer!', 'Wir erleben seit Wochen einen Kanzler Scholz, einen Vizekanzler Habeck und den Finanzminister, die unter den fassungslosen Blicken des Publikums wie in einem Autoscooter auf dem Rummelplatz planlos von Crash zu Crash fahren. Zu Erinnerung: Neben dem Heizungsgesetz krachte es bei Rot-Grün-Gelb allein in dieser Woche bei der Kindergrundsicherung und beim Elterngeld. Wirtschaftlicher Abstieg, Inflation, Flüchtlingskrise, Krieg in der Ukraine und dazu eine Regierung, die nicht einmal ein korrektes Gesetzgebungsverfahren auf die Reihe bringt.', 'Es kann einem angst und bange werden.']",ROBERT SCHNEIDER
MEINUNG; Das große Taumeln,164 words,6 July 2023,BILD,ZBILD,"['HANS-JÖRG VEHLEWALD', 'In weiten Teilen Ostdeutschlands liegt die AfD in Umfragen ganz vorn. Bundesweit über 20 Prozent!', 'Und wie reagieren die anderen, vor allem die Union? Bayerns CSU-Chef Markus Söder tönt, die Union werde das Ampel-Heizgesetz abschaffen, sobald sie wieder den Kanzler stelle.', 'CDU-Bundesvorstand Mike Mohring aus Thüringen sät Zweifel daran, ob Ukraine-Flüchtlinge Bürgergeld kassieren dürfen.', 'Deutlich wird dabei nur: Die blanke Panik treibt unsere Politiker! Die Ampel peitscht ihren Heiz-Hammer durch den Bundestag. Und die Union weiß nicht, ob sie sich den Grünen anbiedern oder der AfD hinterherlaufen will.', 'Allgemeine Verunsicherung! Taumeln.', 'Auf das AfD-Hoch haben die Parteien null Antworten.', 'Die AfD nachzuahmen, wird sie nicht besiegen! Die Partei stellt großenteils berechtigte Fragen. ABER: Die passenden Antworten müssen von den etablierten Parteien kommen. Von souveränen, gemäßigten Politikern, denen der Angstschweiß nicht auf der Stirn steht.', 'Genau daran mangelt es in diesen Tagen. Im Osten und im Westen der Republik!']",Hans-Jörg Vehlewald
MEINUNG; Davon lebt Demokratie!,150 words,28 June 2023,BILD,ZBILD,"['ALBERT LINK', 'Ja, es gibt Länder, in denen die Willkür regiert. In denen Despoten nicht juckt, was das Volk denkt.', 'Doch diese Woche belegt einmal mehr: Deutschland gehört NICHT dazu.', 'Massive Einwände und berechtigte Kritik haben dafür gesorgt, dass gleich zwei Minister ihre Gesetzentwürfe überarbeitet haben. Für die überwiegende Mehrheit der Deutschen greift Robert Habecks Verbot von Öl- und Gasheizungen nicht 2024, sondern erst Jahre später. Für Mieter wie Eigentümer ist der Heiz-Hammer entschärft.', 'Und aus Cem Özdemirs Werbeverbot für teils kerngesunde Lebensmittel wird jetzt ein Verbot für Produkte, die für Kinder wirklich problematisch sein können.', 'Das zeigt: Streiten lohnt sich. Es kommt eben nicht nur alle vier Jahre auf die Stimme im Wahllokal an. Sondern immer dann, wenn Politiker - wie Habeck es sogar eingeräumt hat - Stimmungen der Bürger völlig falsch einschätzen.', 'Wo Volkes Stimme spricht und gehört wird, da lebt die Demokratie!']",Albert Link
MEINUNG; Denkt an das Land!,144 words,20 June 2023,BILD,ZBILD,"['KARINA MÖSSBAUER', 'Die Ampel patzt in Dauerschleife. SPD, Grüne und FDP zerlegen sich immer wieder in der Öffentlichkeit. Es könnte eine Sternstunde für die größte Oppositionskraft in Deutschland sein. Doch die CDU nutzt diese Chance nicht!', 'Statt sich als ernst zu nehmende Alternative zur Ampel aufzustellen, ist in der Partei ein Machtkampf entbrannt: Zwei Top-Politiker der CDU demontieren sich gegenseitig, sichtbar für alle.', 'Das ist kindisch, überflüssig - und hilft vor allem der AfD. Die Rechtsaußen dürften sich wieder einmal mehr die Hände reiben, weil sie vom wachsenden Frust über die etablierten Parteien profitieren.', 'Friedrich Merz und Hendrik Wüst müssen wissen: Auch in der Opposition muss es zuerst ums Land gehen, dann um die Partei. Und ganz zum Schluss um das eigene Ego.', 'Fällt die CDU als ernst zu nehmende Alternative aus, droht Deutschlands Demokratie schwerer Schaden.']",KARINA MÖSSBAUER 
MEINUNG; Wir haben ein Recht auf sichere Städte!,146 words,19 June 2023,BILD,ZBILD,"['FRANK SCHNEIDER', 'Es waren beängstigende Szenen wie im Bürgerkrieg, die ich selbst am Freitagabend mitten in Essen erlebt habe.', 'Aggressive Gruppen Hunderter libanesischer und syrischer Männer, brutale Gewaltausbrüche, dazwischen stehen Polizisten mit Angst in den Augen.', 'Das hat auf unseren Straßen nichts zu suchen. Hier gilt der Rechtsstaat, ohne Ausnahme liegt das Gewaltmonopol bei der Polizei. Und nicht bei marodierenden Großfamilien. Trotz des teilweise erfolgreichen Kampfes gegen kriminelle Clanstrukturen zeigt sich auf dramatische Art: Wenn es um die Familienehre geht, lehnen bestimmte Gruppen unseren Rechtsstaat ab.', 'Noch dramatischer sieht es im liberalen Schweden aus. Dort hat man zu lange gezaudert, so wurde man zum gefährlichsten Land Europas. Die Politik muss diese Gefahr erkennen, ehrlich benennen und konsequent handeln. Jetzt. Sonst freut sich die AfD über noch mehr Rückenwind. Die Bürger haben ein Recht auf sichere Innenstädte!']",Frank Schneider
MEINUNG; Klartext ist richtig!,125 words,13 June 2023,BILD,ZBILD,"['Viele Spitzenpolitiker reden wieder Klartext - gut so!', 'Denn wer die Bürger repräsentieren will, muss auch reden wie die Bürger. Und nicht abgehoben schwafeln.', 'Die Wähler wollen keinen politischen Einheitsbrei. Das zeigen die Umfragen immer wieder. Sie wollen Parteien und Politiker, die sich unterscheiden und verständlich für ihre Standpunkte streiten. Das haben der Bundeskanzler und andere Spitzenpolitiker zuletzt hörbar gemacht.', 'Dabei ist es zuweilen ein schmaler Grat zwischen nötiger Zuspitzung und hetzerischer Übertreibung. Mit dem einen kann man Debatten lostreten und die Demokratie stärken. Mit dem anderen die Demokratie angreifen.', 'Unsere Politiker müssen wissen: Klartext ist wichtig, selbst wenn ein Satz mal danebengeht. Was nicht geht, ist Klartext, der die Axt an unsere Grundwerte anlegt. Und damit dem ganzen Land Schaden zufügt.']",
